"bu_code","identificatie","oppervlakteverblijfsobject","gebruiksdoelverblijfsobject"
"BU05051007","0505010000000437","215","woonfunctie"
"BU05051007","0505010000000439","116","woonfunctie"
"BU05051007","0505010000000440","18","overige gebruiksfunctie"
"BU05051007","0505010000000441","197","woonfunctie"
"BU05051007","0505010000000444","138","woonfunctie"
"BU05051007","0505010000000445","197","woonfunctie"
"BU05051007","0505010000000448","128","woonfunctie"
"BU05051007","0505010000000449","209","woonfunctie"
"BU05051007","0505010000000452","140","woonfunctie"
"BU05051007","0505010000000453","197","woonfunctie"
"BU05051007","0505010000000456","127","woonfunctie"
"BU05051007","0505010000000458","18","overige gebruiksfunctie"
"BU05051007","0505010000000459","18","overige gebruiksfunctie"
"BU05051007","0505010000000460","18","overige gebruiksfunctie"
"BU05051007","0505010000000461","18","overige gebruiksfunctie"
"BU05051007","0505010000000462","18","overige gebruiksfunctie"
"BU05051007","0505010000000463","18","overige gebruiksfunctie"
"BU05051007","0505010000000464","18","overige gebruiksfunctie"
"BU05051007","0505010000000465","18","overige gebruiksfunctie"
"BU05051007","0505010000000466","18","overige gebruiksfunctie"
"BU05051007","0505010000000467","218","woonfunctie"
"BU05051007","0505010000000470","135","woonfunctie"
"BU05051007","0505010000000471","218","woonfunctie"
"BU05051007","0505010000000474","135","woonfunctie"
"BU05051007","0505010000000475","133","woonfunctie"
"BU05051007","0505010000000476","127","woonfunctie"
"BU05051007","0505010000000477","139","woonfunctie"
"BU05051007","0505010000000478","431","woonfunctie"
"BU05051007","0505010000000481","137","woonfunctie"
"BU05051007","0505010000000482","430","woonfunctie"
"BU05051007","0505010000000484","133","woonfunctie"
"BU05051007","0505010000000485","224","woonfunctie"
"BU05051007","0505010000000487","127","woonfunctie"
"BU05051007","0505010000000488","18","overige gebruiksfunctie"
"BU05051007","0505010000000489","135","woonfunctie"
"BU05051007","0505010000000490","18","overige gebruiksfunctie"
"BU05051007","0505010000000491","260","woonfunctie"
"BU05051007","0505010000000493","128","woonfunctie"
"BU05051007","0505010000000494","18","overige gebruiksfunctie"
"BU05051007","0505010000000495","222","woonfunctie"
"BU05051007","0505010000000498","126","woonfunctie"
"BU05051007","0505010000000499","18","overige gebruiksfunctie"
"BU05051007","0505010000000500","132","woonfunctie"
"BU05051007","0505010000000501","312","woonfunctie"
"BU05051007","0505010000000501","312","kantoorfunctie"
"BU05051007","0505010000000504","130","woonfunctie"
"BU05051007","0505010000000505","18","overige gebruiksfunctie"
"BU05051007","0505010000000506","305","woonfunctie"
"BU05051007","0505010000000509","126","woonfunctie"
"BU05051007","0505010000000510","18","overige gebruiksfunctie"
"BU05051007","0505010000000511","135","woonfunctie"
"BU05051007","0505010000000512","277","woonfunctie"
"BU05051007","0505010000000514","136","woonfunctie"
"BU05051007","0505010000000515","420","woonfunctie"
"BU05051007","0505010000000516","126","woonfunctie"
"BU05051007","0505010000000517","131","woonfunctie"
"BU05051007","0505010000000518","135","woonfunctie"
"BU05051007","0505010000000519","132","woonfunctie"
"BU05051007","0505010000000520","126","woonfunctie"
"BU05051007","0505010000000521","128","woonfunctie"
"BU05051007","0505010000000522","135","woonfunctie"
"BU05051007","0505010000000523","18","overige gebruiksfunctie"
"BU05051007","0505010000000524","138","woonfunctie"
"BU05051007","0505010000000525","18","overige gebruiksfunctie"
"BU05051007","0505010000000526","126","woonfunctie"
"BU05051007","0505010000000527","18","overige gebruiksfunctie"
"BU05051007","0505010000000528","126","woonfunctie"
"BU05051007","0505010000000529","18","overige gebruiksfunctie"
"BU05051007","0505010000000530","138","woonfunctie"
"BU05051007","0505010000000531","18","overige gebruiksfunctie"
"BU05051007","0505010000000532","18","overige gebruiksfunctie"
"BU05051007","0505010000000533","138","woonfunctie"
"BU05051007","0505010000000534","18","overige gebruiksfunctie"
"BU05051007","0505010000000535","126","woonfunctie"
"BU05051007","0505010000000536","18","overige gebruiksfunctie"
"BU05051007","0505010000000537","132","woonfunctie"
"BU05051007","0505010000000538","18","overige gebruiksfunctie"
"BU05051007","0505010000000540","96","woonfunctie"
"BU05051007","0505010000000541","17","overige gebruiksfunctie"
"BU05051007","0505010000000542","17","overige gebruiksfunctie"
"BU05051007","0505010000000543","17","overige gebruiksfunctie"
"BU05051007","0505010000000544","17","overige gebruiksfunctie"
"BU05051007","0505010000000545","17","overige gebruiksfunctie"
"BU05051007","0505010000000546","17","overige gebruiksfunctie"
"BU05051007","0505010000000547","17","industriefunctie"
"BU05051007","0505010000000551","51","industriefunctie"
"BU05051007","0505010000000552","17","overige gebruiksfunctie"
"BU05051007","0505010000000553","17","overige gebruiksfunctie"
"BU05051007","0505010000000554","17","overige gebruiksfunctie"
"BU05051007","0505010000000555","17","overige gebruiksfunctie"
"BU05051007","0505010000000556","89","woonfunctie"
"BU05051007","0505010000000557","107","woonfunctie"
"BU05051007","0505010000000558","89","woonfunctie"
"BU05051007","0505010000000559","98","woonfunctie"
"BU05051007","0505010000000560","101","woonfunctie"
"BU05051007","0505010000000561","96","woonfunctie"
"BU05051007","0505010000000562","89","woonfunctie"
"BU05051007","0505010000000563","96","woonfunctie"
"BU05051007","0505010000000564","117","woonfunctie"
"BU05051007","0505010000000565","96","woonfunctie"
"BU05051007","0505010000000566","117","woonfunctie"
"BU05051007","0505010000000567","96","woonfunctie"
"BU05051007","0505010000000568","117","woonfunctie"
"BU05051007","0505010000000569","94","woonfunctie"
"BU05051007","0505010000000570","117","woonfunctie"
"BU05051007","0505010000000571","42","overige gebruiksfunctie"
"BU05051007","0505010000000573","96","woonfunctie"
"BU05051007","0505010000000574","89","woonfunctie"
"BU05051007","0505010000000575","94","woonfunctie"
"BU05051007","0505010000000576","89","woonfunctie"
"BU05051007","0505010000000577","97","woonfunctie"
"BU05051007","0505010000000578","89","woonfunctie"
"BU05051007","0505010000000579","110","woonfunctie"
"BU05051007","0505010000000580","89","woonfunctie"
"BU05051007","0505010000000581","110","woonfunctie"
"BU05051007","0505010000000582","89","woonfunctie"
"BU05051007","0505010000000583","109","woonfunctie"
"BU05051007","0505010000000584","89","woonfunctie"
"BU05051007","0505010000000585","108","woonfunctie"
"BU05051007","0505010000000586","89","woonfunctie"
"BU05051007","0505010000000587","112","woonfunctie"
"BU05051007","0505010000000588","89","woonfunctie"
"BU05051007","0505010000000589","18","overige gebruiksfunctie"
"BU05051007","0505010000000590","113","woonfunctie"
"BU05051007","0505010000000591","101","woonfunctie"
"BU05051007","0505010000000592","111","woonfunctie"
"BU05051007","0505010000000593","89","woonfunctie"
"BU05051007","0505010000000594","112","woonfunctie"
"BU05051007","0505010000000595","89","woonfunctie"
"BU05051007","0505010000000596","113","woonfunctie"
"BU05051007","0505010000000597","89","woonfunctie"
"BU05051007","0505010000000598","113","woonfunctie"
"BU05051007","0505010000000599","89","woonfunctie"
"BU05051007","0505010000000600","118","woonfunctie"
"BU05051007","0505010000000601","24","overige gebruiksfunctie"
"BU05051007","0505010000000602","89","woonfunctie"
"BU05051007","0505010000000603","89","woonfunctie"
"BU05051007","0505010000000604","89","woonfunctie"
"BU05051006","0505010000000605","92","woonfunctie"
"BU05051006","0505010000000606","9","overige gebruiksfunctie"
"BU05051006","0505010000000607","48","overige gebruiksfunctie"
"BU05051006","0505010000000608","14","overige gebruiksfunctie"
"BU05051006","0505010000000609","14","overige gebruiksfunctie"
"BU05051006","0505010000000610","14","overige gebruiksfunctie"
"BU05051006","0505010000000611","14","overige gebruiksfunctie"
"BU05051006","0505010000000612","14","overige gebruiksfunctie"
"BU05051006","0505010000000613","14","overige gebruiksfunctie"
"BU05051006","0505010000000614","14","overige gebruiksfunctie"
"BU05051006","0505010000000615","14","overige gebruiksfunctie"
"BU05051006","0505010000000616","20","overige gebruiksfunctie"
"BU05051006","0505010000000617","84","woonfunctie"
"BU05051006","0505010000000618","92","woonfunctie"
"BU05051006","0505010000000619","84","woonfunctie"
"BU05051006","0505010000000620","92","woonfunctie"
"BU05051006","0505010000000621","84","woonfunctie"
"BU05051006","0505010000000622","92","woonfunctie"
"BU05051006","0505010000000623","84","woonfunctie"
"BU05051006","0505010000000624","92","woonfunctie"
"BU05051006","0505010000000625","84","woonfunctie"
"BU05051006","0505010000000626","92","woonfunctie"
"BU05051006","0505010000000627","84","woonfunctie"
"BU05050105","0505010000000634","144","woonfunctie"
"BU05050105","0505010000000635","316","industriefunctie"
"BU05050105","0505010000000637","237","woonfunctie"
"BU05050105","0505010000000638","183","woonfunctie"
"BU05050105","0505010000000639","143","woonfunctie"
"BU05050105","0505010000000640","161","woonfunctie"
"BU05050105","0505010000000641","246","woonfunctie"
"BU05050105","0505010000000643","408","winkelfunctie"
"BU05050105","0505010000000656","78","woonfunctie"
"BU05050105","0505010000000683","78","woonfunctie"
"BU05050105","0505010000000693","78","woonfunctie"
"BU05050105","0505010000000694","65","woonfunctie"
"BU05050105","0505010000000695","79","woonfunctie"
"BU05050105","0505010000000696","78","woonfunctie"
"BU05050105","0505010000000697","78","woonfunctie"
"BU05050105","0505010000000698","85","woonfunctie"
"BU05050105","0505010000000699","78","woonfunctie"
"BU05050105","0505010000000700","78","woonfunctie"
"BU05050105","0505010000000701","78","woonfunctie"
"BU05050105","0505010000000702","65","woonfunctie"
"BU05050105","0505010000000703","78","woonfunctie"
"BU05050105","0505010000000704","78","woonfunctie"
"BU05050105","0505010000000705","78","woonfunctie"
"BU05050105","0505010000000706","85","woonfunctie"
"BU05050105","0505010000000707","78","woonfunctie"
"BU05050105","0505010000000708","78","woonfunctie"
"BU05050105","0505010000000709","78","woonfunctie"
"BU05050105","0505010000000710","65","woonfunctie"
"BU05050105","0505010000000711","78","woonfunctie"
"BU05050105","0505010000000712","78","woonfunctie"
"BU05050105","0505010000000713","78","woonfunctie"
"BU05050105","0505010000000714","85","woonfunctie"
"BU05050105","0505010000000715","102","woonfunctie"
"BU05050105","0505010000000716","85","woonfunctie"
"BU05050105","0505010000000717","85","woonfunctie"
"BU05050105","0505010000000718","85","woonfunctie"
"BU05050105","0505010000000719","85","woonfunctie"
"BU05050105","0505010000000720","85","woonfunctie"
"BU05050105","0505010000000721","134","woonfunctie"
"BU05050105","0505010000000722","134","woonfunctie"
"BU05050105","0505010000000723","134","woonfunctie"
"BU05050105","0505010000000724","178","woonfunctie"
"BU05050105","0505010000000725","78","woonfunctie"
"BU05050105","0505010000000726","120","woonfunctie"
"BU05050105","0505010000000727","372","woonfunctie"
"BU05050105","0505010000000728","1048","logiesfunctie"
"BU05050105","0505010000000730","229","logiesfunctie"
"BU05050105","0505010000000731","394","winkelfunctie"
"BU05050105","0505010000000732","177","woonfunctie"
"BU05050105","0505010000000732","177","kantoorfunctie"
"BU05050105","0505010000000736","95","woonfunctie"
"BU05050105","0505010000000737","106","woonfunctie"
"BU05050105","0505010000000738","98","woonfunctie"
"BU05050105","0505010000000739","94","woonfunctie"
"BU05050105","0505010000000740","94","woonfunctie"
"BU05050105","0505010000000741","94","woonfunctie"
"BU05050105","0505010000000742","94","woonfunctie"
