"Leeftijd referentiepersoon";"Perioden";"Regio's";"Particuliere huishoudens: samenstelling/Totaal particuliere huishoudens (aantal)";"Particuliere huishoudens: samenstelling/Eenpersoonshuishouden (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Totaal meerpersoonshuishoudens (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/Totaal niet-gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/Totaal gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Eenouderhuishouden/Totaal eenouderhuishoudens (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/2 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/3 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/4 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/5 of meer personen (aantal)"
"Totaal";"2020";"Gilze en Rijen";11200;3276;7924;1411;5653;822;4248;1423;1655;598
"Totaal";"2020";"Goedereede";;;;;;;;;;
"Totaal";"2020";"Goeree-Overflakkee";21138;6447;14691;1855;11691;1094;7918;2608;2676;1489
"Totaal";"2020";"Goes";17776;6845;10931;1911;7765;1200;6260;1990;1841;840
"Totaal";"2020";"Goirle";10192;2889;7303;1375;5226;677;3969;1256;1570;508
"Totaal";"2020";"Gooise Meren";25914;9960;15954;3576;10363;1925;7710;2984;3572;1688
"Totaal";"2020";"Goor";;;;;;;;;;
"Totaal";"2020";"Gorinchem";16666;6299;10367;2010;7007;1262;5276;2054;2028;1009
"Totaal";"2020";"Gorssel";;;;;;;;;;
"Totaal";"2020";"Gouda";33475;12976;20499;3975;13904;2440;10905;3875;3682;2037
"Totaal";"2020";"Graafstroom";;;;;;;;;;
"Totaal";"2020";"Graft-De Rijp";;;;;;;;;;
"Totaal";"2020";"Gramsbergen";;;;;;;;;;
"Totaal";"2020";"Grave";5318;1690;3628;726;2534;358;2006;639;729;254
"Totaal";"2020";"'s-Graveland";;;;;;;;;;
"Totaal";"2020";"'s-Gravendeel";;;;;;;;;;
"Totaal";"2020";"'s-Gravenhage (gemeente)";268306;128868;139438;36169;76049;25032;69296;30036;26711;13395
"Totaal";"2020";"'s-Gravenzande";;;;;;;;;;
"Totaal";"2020";"Groenlo";;;;;;;;;;
"Totaal";"2020";"Groesbeek";;;;;;;;;;
"Totaal";"2020";"Groningen (gemeente)";136383;80637;55746;19960;26788;7730;33949;9795;8700;3302
"Totaal";"2020";"Grootegast";;;;;;;;;;
"Totaal";"2020";"Grubbenvorst";;;;;;;;;;
"Totaal";"2020";"Gulpen-Wittem";6546;2098;4448;736;3336;344;2706;830;709;203
"Totaal";"2020";"Haaksbergen";10217;2978;7239;1395;5218;584;3807;1210;1581;641
"Totaal";"2020";"Haaren";5912;1637;4275;816;3131;314;2301;716;869;389
"Totaal";"2020";"Haarlem";78171;34100;44071;12686;24927;6044;22547;8933;9150;3441
"Totaal";"2020";"Haarlemmerliede en Spaarnwoude";;;;;;;;;;
"Totaal";"2020";"Haarlemmermeer";65732;20213;45519;8836;30836;5579;21090;9980;10942;3507
"Totaal";"2020";"Haelen";;;;;;;;;;
"Totaal";"2020";"Halderberge";13103;3773;9330;1556;6805;904;5265;1670;1744;651
"Totaal";"2020";"Den Ham";;;;;;;;;;
"Totaal";"2020";"Hardenberg";24358;6889;17469;2903;13083;1376;8517;2962;3793;2197
"Totaal";"2020";"Harderwijk";20531;6781;13750;2315;9867;1487;6767;2574;2970;1439
"Totaal";"2020";"Hardinxveld-Giessendam";7110;1971;5139;491;4290;327;2396;941;1035;767
"Totaal";"2020";"Haren";;;;;;;;;;
"Totaal";"2020";"Harenkarspel";;;;;;;;;;
"Totaal";"2020";"Harlingen";7484;2960;4524;890;3044;566;2618;804;768;334
"Totaal";"2020";"Harmelen";;;;;;;;;;
"Totaal";"2020";"Hasselt";;;;;;;;;;
"Totaal";"2020";"Hattem";5084;1484;3600;470;2846;266;1851;620;723;406
"Totaal";"2020";"Heel";;;;;;;;;;
"Totaal";"2020";"Heemskerk";17342;5777;11565;2152;7955;1400;6146;2215;2393;811
"Totaal";"2020";"Heemstede";12019;4410;7609;1482;5315;780;3867;1350;1664;728
"Totaal";"2020";"Heerde";7670;2017;5653;699;4548;384;3029;973;1130;521
"Totaal";"2020";"Heerenveen";22895;8261;14634;3139;9768;1645;7903;2620;2955;1156
"Totaal";"2020";"Heerhugowaard";23770;7151;16619;3261;11292;1994;8074;3226;3788;1531
"Totaal";"2020";"Heerjansdam";;;;;;;;;;
"Totaal";"2020";"Heerlen";45247;20830;24417;5086;14960;4174;14914;4963;3389;1151
"Totaal";"2020";"Heeze-Leende";6791;1920;4871;906;3573;367;2671;797;978;425
"Totaal";"2020";"Heiloo";10770;3801;6969;1285;5027;635;3749;1169;1493;558
"Totaal";"2020";"Heino";;;;;;;;;;
"Totaal";"2020";"Helden";;;;;;;;;;
"Totaal";"2020";"Den Helder";27069;11030;16039;2744;10827;2392;9377;3095;2635;932
"Totaal";"2020";"Hellendoorn";14721;4132;10589;1722;7983;838;5374;1816;2367;1032
"Totaal";"2020";"Hellevoetsluis";18035;5812;12223;2071;8563;1544;6660;2594;2222;747
"Totaal";"2020";"Helmond";41077;14226;26851;5719;17475;3494;13654;5406;5623;2168
"Totaal";"2020";"Hendrik-Ido-Ambacht";12197;3049;9148;1334;6958;829;4163;1823;2166;996
"Totaal";"2020";"Hengelo (Gld.)";;;;;;;;;;
"Totaal";"2020";"Hengelo (O.)";38016;14982;23034;4658;15407;2791;12463;4217;4604;1750
"Totaal";"2020";"'s-Hertogenbosch";73408;29457;43951;11292;26964;5308;24062;8230;8536;3123
"Totaal";"2020";"Heteren";;;;;;;;;;
"Totaal";"2020";"Heumen";7145;2212;4933;890;3577;452;2642;906;1003;382
"Totaal";"2020";"Heusden";19095;5594;13501;2617;9659;1164;7058;2507;2920;1016
"Totaal";"2020";"Heythuysen";;;;;;;;;;
"Totaal";"2020";"Hillegom";9904;3386;6518;1385;4394;698;3419;1331;1316;452
